cliente_id,idade,uf,escolaridade,estado_civil,profissao,segmento,renda_mensal,score_credito,tempo_relacionamento_meses,qtd_produtos,agencia_id,gerente_id,canal_preferencial,produto_principal,media_qtd_pix_6m,media_valor_pix_6m,valor_total_pix_6m,qtd_transacoes_cartao_6m,valor_cartao_6m,qtd_login_app_30d,qtd_tentativas_login_falha_30d,qtd_contestacoes_12m,dias_desde_ultima_fraude,tipo_fraude,valor_fraude,qtd_protocolos_atendimento_90d,tempo_resolucao_dias,teve_estorno,percentual_estornado,reclamacao_bacen,reclamacao_consumidor_gov,vulnerabilidade_digital_score,advogado_id,prob_judicializacao_teorica,judicializou
1,49,SP,Superior,Casado,Estudante,Universitario,1208.22,596,45,1,140,3199,App,Conta corrente,20,298.89,34745.18,50,1152.0,35,1,4,62,Engenharia social,4595.04,0,9,0,0.038,0,0,32.5,129,0.1513,0
2,40,RJ,Medio,Solteiro,CLT,Alta renda,13920.46,672,67,4,260,2611,Telefone,Financiamento,30,430.88,63779.19,61,8672.42,23,1,0,135,Pix falso,754.76,1,25,0,0.029,1,0,37.2,91,0.5274,1
3,52,GO,Medio,Viuvo,CLT,Varejo,7111.56,562,50,3,757,2266,App,Cartao credito,20,1204.87,128368.9,51,6902.7,29,1,1,223,Golpe do motoboy,1065.1,3,38,0,0.009,1,0,31.7,187,0.4786,0
4,65,GO,Medio,Casado,Empresario,Aposentado,3036.58,618,56,2,449,2747,Agencia,Emprestimo,23,208.78,27728.62,53,2799.26,21,1,0,15,Pix falso,3002.82,1,27,1,0.894,0,0,52.1,259,0.1459,0
5,38,SP,Superior,Solteiro,Autonomo,Alta renda,14644.16,548,87,3,627,3355,Agencia,Financiamento,16,800.53,74215.55,64,11329.68,13,10,0,65,Cartao clonado,2549.2,0,4,1,0.618,0,1,50.4,0,0.0724,0
6,38,SP,Pos-graduacao,Divorciado,Estudante,Universitario,2370.31,487,83,2,14,569,Agencia,Seguro,18,165.0,18157.25,53,1760.51,15,1,1,156,Cartao clonado,1782.65,1,6,0,0.011,0,0,36.1,0,0.077,0
7,66,SP,Superior,Casado,Autonomo,Varejo,4756.51,806,86,1,37,300,App,Conta corrente,17,242.66,21060.25,50,14842.78,25,1,1,58,Engenharia social,318.04,2,34,1,0.79,0,0,50.5,0,0.0771,0
8,54,PE,Fundamental,Solteiro,CLT,Varejo,3308.46,582,33,6,26,1930,Caixa Eletronico,Conta corrente,22,102.42,12796.04,46,1859.13,16,8,0,116,Pix falso,992.14,2,12,1,0.818,0,0,28.3,0,0.0326,0
9,35,SP,Medio,Divorciado,CLT,Varejo,3607.18,563,50,4,254,1235,App,Conta corrente,25,175.09,21955.73,50,4872.16,38,2,0,284,Pix falso,3335.35,4,17,0,0.036,0,0,51.7,95,0.278,0
10,50,SP,Medio,Solteiro,Autonomo,Aposentado,4271.44,567,213,5,735,77,Agencia,Conta corrente,25,82.24,12185.52,54,5632.7,13,1,0,112,Pix falso,1283.26,0,16,1,0.921,0,0,26.6,0,0.0368,0
11,35,SP,Medio,Solteiro,Aposentado,Varejo,8235.3,617,69,5,507,579,App,Cartao credito,23,1279.47,159424.63,48,7640.63,34,0,0,35,Emprestimo fraudulento,10458.68,4,18,0,0.025,0,0,19.6,0,0.1916,0
12,35,GO,Superior,Solteiro,CLT,Alta renda,10294.58,629,24,3,177,665,WhatsApp,Financiamento,35,836.68,171858.79,79,15400.82,25,1,1,37,Golpe do motoboy,537.17,3,8,1,0.697,0,0,32.6,0,0.0339,0
13,46,RS,Fundamental,Casado,Aposentado,Varejo,10155.82,567,70,6,637,443,WhatsApp,Investimentos,19,916.89,101961.36,58,4874.34,20,0,0,41,Pix falso,1424.27,4,17,1,0.611,0,0,66.3,34,0.1239,0
14,18,PR,Medio,Solteiro,Aposentado,Varejo,2939.85,622,18,2,651,2553,Agencia,Investimentos,20,224.09,27675.99,57,928.71,14,0,0,183,Conta invadida,5446.77,3,17,1,0.539,0,0,45.4,0,0.0541,0
15,18,BA,Superior,Casado,CLT,MEI,2818.31,554,65,3,54,1859,Agencia,Financiamento,31,111.01,19920.3,35,4127.28,22,4,2,121,Engenharia social,5089.33,3,51,1,0.574,0,0,20.1,0,0.1045,0
16,34,RS,Fundamental,Casado,Empresario,Aposentado,3708.93,744,79,2,332,1676,App,Financiamento,22,156.51,16968.98,51,12621.58,46,3,2,51,Conta invadida,2367.26,1,17,1,0.813,0,0,60.9,0,0.0591,0
17,27,SC,Superior,Casado,Autonomo,Universitario,2411.51,711,131,1,638,1606,App,Emprestimo,20,626.26,64873.56,48,2324.82,33,0,0,122,Cartao clonado,673.2,4,20,1,0.827,0,1,31.1,0,0.0573,0
