source,target,edge_type,weight
cliente_1,agencia_140,cliente_agencia,1.0
cliente_2,agencia_260,cliente_agencia,1.0
cliente_3,agencia_757,cliente_agencia,1.0
cliente_4,agencia_449,cliente_agencia,1.0
cliente_5,agencia_627,cliente_agencia,1.0
cliente_6,agencia_14,cliente_agencia,1.0
cliente_7,agencia_37,cliente_agencia,1.0
cliente_8,agencia_26,cliente_agencia,1.0
cliente_9,agencia_254,cliente_agencia,1.0
cliente_10,agencia_735,cliente_agencia,1.0
cliente_11,agencia_507,cliente_agencia,1.0
cliente_12,agencia_177,cliente_agencia,1.0
cliente_13,agencia_637,cliente_agencia,1.0
cliente_14,agencia_651,cliente_agencia,1.0
cliente_15,agencia_54,cliente_agencia,1.0
cliente_16,agencia_332,cliente_agencia,1.0
cliente_17,agencia_638,cliente_agencia,1.0
cliente_18,agencia_354,cliente_agencia,1.0
cliente_19,agencia_739,cliente_agencia,1.0
cliente_20,agencia_401,cliente_agencia,1.0
cliente_21,agencia_177,cliente_agencia,1.0
cliente_22,agencia_31,cliente_agencia,1.0
cliente_23,agencia_194,cliente_agencia,1.0
cliente_24,agencia_52,cliente_agencia,1.0
cliente_25,agencia_182,cliente_agencia,1.0
cliente_26,agencia_234,cliente_agencia,1.0
cliente_27,agencia_579,cliente_agencia,1.0
cliente_28,agencia_360,cliente_agencia,1.0
cliente_29,agencia_73,cliente_agencia,1.0
cliente_30,agencia_231,cliente_agencia,1.0
cliente_31,agencia_81,cliente_agencia,1.0
cliente_32,agencia_223,cliente_agencia,1.0
cliente_33,agencia_543,cliente_agencia,1.0
cliente_34,agencia_584,cliente_agencia,1.0
cliente_35,agencia_697,cliente_agencia,1.0
cliente_36,agencia_593,cliente_agencia,1.0
cliente_37,agencia_51,cliente_agencia,1.0
cliente_38,agencia_626,cliente_agencia,1.0
cliente_39,agencia_405,cliente_agencia,1.0
cliente_40,agencia_531,cliente_agencia,1.0
cliente_41,agencia_776,cliente_agencia,1.0
cliente_42,agencia_203,cliente_agencia,1.0
cliente_43,agencia_81,cliente_agencia,1.0
cliente_44,agencia_26,cliente_agencia,1.0
cliente_45,agencia_648,cliente_agencia,1.0
cliente_46,agencia_602,cliente_agencia,1.0
cliente_47,agencia_592,cliente_agencia,1.0
cliente_48,agencia_475,cliente_agencia,1.0
cliente_49,agencia_4,cliente_agencia,1.0
cliente_50,agencia_241,cliente_agencia,1.0
cliente_51,agencia_72,cliente_agencia,1.0
cliente_52,agencia_71,cliente_agencia,1.0
cliente_53,agencia_523,cliente_agencia,1.0
cliente_54,agencia_678,cliente_agencia,1.0
cliente_55,agencia_593,cliente_agencia,1.0
cliente_56,agencia_484,cliente_agencia,1.0
cliente_57,agencia_136,cliente_agencia,1.0
cliente_58,agencia_40,cliente_agencia,1.0
cliente_59,agencia_562,cliente_agencia,1.0
cliente_60,agencia_295,cliente_agencia,1.0
cliente_61,agencia_331,cliente_agencia,1.0
cliente_62,agencia_361,cliente_agencia,1.0
cliente_63,agencia_220,cliente_agencia,1.0
cliente_64,agencia_279,cliente_agencia,1.0
cliente_65,agencia_795,cliente_agencia,1.0
cliente_66,agencia_320,cliente_agencia,1.0
cliente_67,agencia_580,cliente_agencia,1.0
cliente_68,agencia_618,cliente_agencia,1.0
cliente_69,agencia_546,cliente_agencia,1.0
cliente_70,agencia_576,cliente_agencia,1.0
cliente_71,agencia_332,cliente_agencia,1.0
cliente_72,agencia_438,cliente_agencia,1.0
cliente_73,agencia_170,cliente_agencia,1.0
cliente_74,agencia_725,cliente_agencia,1.0
cliente_75,agencia_418,cliente_agencia,1.0
cliente_76,agencia_340,cliente_agencia,1.0
cliente_77,agencia_773,cliente_agencia,1.0
cliente_78,agencia_301,cliente_agencia,1.0
cliente_79,agencia_503,cliente_agencia,1.0
cliente_80,agencia_685,cliente_agencia,1.0
cliente_81,agencia_173,cliente_agencia,1.0
cliente_82,agencia_364,cliente_agencia,1.0
cliente_83,agencia_166,cliente_agencia,1.0
cliente_84,agencia_557,cliente_agencia,1.0
cliente_85,agencia_194,cliente_agencia,1.0
cliente_86,agencia_351,cliente_agencia,1.0
cliente_87,agencia_416,cliente_agencia,1.0
cliente_88,agencia_795,cliente_agencia,1.0
cliente_89,agencia_379,cliente_agencia,1.0
cliente_90,agencia_662,cliente_agencia,1.0
cliente_91,agencia_609,cliente_agencia,1.0
cliente_92,agencia_462,cliente_agencia,1.0
cliente_93,agencia_360,cliente_agencia,1.0
cliente_94,agencia_363,cliente_agencia,1.0
cliente_95,agencia_234,cliente_agencia,1.0
cliente_96,agencia_326,cliente_agencia,1.0
cliente_97,agencia_373,cliente_agencia,1.0
cliente_98,agencia_190,cliente_agencia,1.0
cliente_99,agencia_125,cliente_agencia,1.0
cliente_100,agencia_711,cliente_agencia,1.0
cliente_101,agencia_709,cliente_agencia,1.0
cliente_102,agencia_460,cliente_agencia,1.0
cliente_103,agencia_764,cliente_agencia,1.0
cliente_104,agencia_223,cliente_agencia,1.0
cliente_105,agencia_504,cliente_agencia,1.0
cliente_106,agencia_679,cliente_agencia,1.0
cliente_107,agencia_744,cliente_agencia,1.0
cliente_108,agencia_424,cliente_agencia,1.0
cliente_109,agencia_95,cliente_agencia,1.0
cliente_110,agencia_185,cliente_agencia,1.0
cliente_111,agencia_692,cliente_agencia,1.0
cliente_112,agencia_765,cliente_agencia,1.0
cliente_113,agencia_536,cliente_agencia,1.0
cliente_114,agencia_686,cliente_agencia,1.0
cliente_115,agencia_772,cliente_agencia,1.0
cliente_116,agencia_381,cliente_agencia,1.0
cliente_117,agencia_453,cliente_agencia,1.0
cliente_118,agencia_488,cliente_agencia,1.0
cliente_119,agencia_532,cliente_agencia,1.0
cliente_120,agencia_483,cliente_agencia,1.0
cliente_121,agencia_335,cliente_agencia,1.0
cliente_122,agencia_747,cliente_agencia,1.0
cliente_123,agencia_743,cliente_agencia,1.0
cliente_124,agencia_185,cliente_agencia,1.0
cliente_125,agencia_741,cliente_agencia,1.0
cliente_126,agencia_306,cliente_agencia,1.0
cliente_127,agencia_642,cliente_agencia,1.0
cliente_128,agencia_209,cliente_agencia,1.0
cliente_129,agencia_766,cliente_agencia,1.0
cliente_130,agencia_741,cliente_agencia,1.0
cliente_131,agencia_437,cliente_agencia,1.0
cliente_132,agencia_312,cliente_agencia,1.0
cliente_133,agencia_726,cliente_agencia,1.0
cliente_134,agencia_220,cliente_agencia,1.0
cliente_135,agencia_365,cliente_agencia,1.0
cliente_136,agencia_385,cliente_agencia,1.0
cliente_137,agencia_254,cliente_agencia,1.0
cliente_138,agencia_423,cliente_agencia,1.0
cliente_139,agencia_158,cliente_agencia,1.0
cliente_140,agencia_293,cliente_agencia,1.0
cliente_141,agencia_745,cliente_agencia,1.0
cliente_142,agencia_448,cliente_agencia,1.0
cliente_143,agencia_158,cliente_agencia,1.0
cliente_144,agencia_667,cliente_agencia,1.0
cliente_145,agencia_578,cliente_agencia,1.0
cliente_146,agencia_294,cliente_agencia,1.0
cliente_147,agencia_556,cliente_agencia,1.0
cliente_148,agencia_396,cliente_agencia,1.0
cliente_149,agencia_74,cliente_agencia,1.0
cliente_150,agencia_32,cliente_agencia,1.0
cliente_151,agencia_404,cliente_agencia,1.0
cliente_152,agencia_597,cliente_agencia,1.0
cliente_153,agencia_50,cliente_agencia,1.0
cliente_154,agencia_594,cliente_agencia,1.0
cliente_155,agencia_799,cliente_agencia,1.0
cliente_156,agencia_326,cliente_agencia,1.0
cliente_157,agencia_673,cliente_agencia,1.0
cliente_158,agencia_377,cliente_agencia,1.0
cliente_159,agencia_655,cliente_agencia,1.0
cliente_160,agencia_419,cliente_agencia,1.0
cliente_161,agencia_110,cliente_agencia,1.0
cliente_162,agencia_150,cliente_agencia,1.0
cliente_163,agencia_596,cliente_agencia,1.0
cliente_164,agencia_578,cliente_agencia,1.0
cliente_165,agencia_259,cliente_agencia,1.0
cliente_166,agencia_799,cliente_agencia,1.0
cliente_167,agencia_189,cliente_agencia,1.0
cliente_168,agencia_729,cliente_agencia,1.0
cliente_169,agencia_377,cliente_agencia,1.0
cliente_170,agencia_579,cliente_agencia,1.0
cliente_171,agencia_731,cliente_agencia,1.0
cliente_172,agencia_629,cliente_agencia,1.0
cliente_173,agencia_737,cliente_agencia,1.0
cliente_174,agencia_163,cliente_agencia,1.0
cliente_175,agencia_80,cliente_agencia,1.0
cliente_176,agencia_604,cliente_agencia,1.0
cliente_177,agencia_573,cliente_agencia,1.0
cliente_178,agencia_68,cliente_agencia,1.0
cliente_179,agencia_112,cliente_agencia,1.0
cliente_180,agencia_471,cliente_agencia,1.0
cliente_181,agencia_329,cliente_agencia,1.0
cliente_182,agencia_169,cliente_agencia,1.0
cliente_183,agencia_438,cliente_agencia,1.0
cliente_184,agencia_445,cliente_agencia,1.0
cliente_185,agencia_281,cliente_agencia,1.0
cliente_186,agencia_367,cliente_agencia,1.0
cliente_187,agencia_468,cliente_agencia,1.0
cliente_188,agencia_379,cliente_agencia,1.0
cliente_189,agencia_263,cliente_agencia,1.0
cliente_190,agencia_378,cliente_agencia,1.0
cliente_191,agencia_715,cliente_agencia,1.0
cliente_192,agencia_55,cliente_agencia,1.0
cliente_193,agencia_757,cliente_agencia,1.0
cliente_194,agencia_673,cliente_agencia,1.0
cliente_195,agencia_194,cliente_agencia,1.0
cliente_196,agencia_563,cliente_agencia,1.0
cliente_197,agencia_496,cliente_agencia,1.0
cliente_198,agencia_434,cliente_agencia,1.0
cliente_199,agencia_753,cliente_agencia,1.0
cliente_200,agencia_382,cliente_agencia,1.0
cliente_201,agencia_176,cliente_agencia,1.0
cliente_202,agencia_35,cliente_agencia,1.0
cliente_203,agencia_409,cliente_agencia,1.0
cliente_204,agencia_428,cliente_agencia,1.0
cliente_205,agencia_115,cliente_agencia,1.0
cliente_206,agencia_4,cliente_agencia,1.0
cliente_207,agencia_50,cliente_agencia,1.0
cliente_208,agencia_740,cliente_agencia,1.0
cliente_209,agencia_556,cliente_agencia,1.0
cliente_210,agencia_70,cliente_agencia,1.0
cliente_211,agencia_431,cliente_agencia,1.0
cliente_212,agencia_341,cliente_agencia,1.0
cliente_213,agencia_612,cliente_agencia,1.0
cliente_214,agencia_690,cliente_agencia,1.0
cliente_215,agencia_581,cliente_agencia,1.0
cliente_216,agencia_248,cliente_agencia,1.0
cliente_217,agencia_745,cliente_agencia,1.0
cliente_218,agencia_156,cliente_agencia,1.0
cliente_219,agencia_503,cliente_agencia,1.0
cliente_220,agencia_593,cliente_agencia,1.0
cliente_221,agencia_528,cliente_agencia,1.0
cliente_222,agencia_502,cliente_agencia,1.0
cliente_223,agencia_672,cliente_agencia,1.0
